id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0545,match_19_sbu_vs_2wfc,San Beda University,right,Pass,42,Harvy Barro,CDM,3725,2,4856.511428,1.0,true,40.77,30.38,true,middle third,Successful,Short,Short,,61.27,58.88,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:31:28+02:00
evt_0546,match_19_sbu_vs_2wfc,San Beda University,right,Pass,22,Pius Encaya,ST,3730,2,4861.66585,5.0,true,58.02,60.01,false,middle third,Successful,Short,Short,,61.77,81.39,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:31:49+02:00
evt_0547,match_19_sbu_vs_2wfc,San Beda University,right,Pass,23,Sam Salingay,ST,3732,2,4863.428065,2.0,true,61.52,81.01,false,defensive third,Successful,Short,Short,,79.02,82.89,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:32:17+02:00
evt_0548,match_19_sbu_vs_2wfc,San Beda University,right,Duel,21,Bel Escodo,CAM,3737,2,4869.030605,5.0,false,79.02,81.39,false,defensive third,Unsuccessful,Ground,,,,,,,,,true,,,,,,,,,2025-10-25T06:32:39+02:00
evt_0549,match_19_sbu_vs_2wfc,San Beda University,right,Possession Loss,21,Bel Escodo,CAM,3742,2,4874.039677,5.0,false,81.02,94.51,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:32:54+02:00
evt_0550,match_19_sbu_vs_2wfc,2 Worlds FC,left,Throw-in,99,,0,3743,2,4874.410621,1.0,false,77.02,96.02,true,attacking third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:32:59+02:00
evt_0551,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,103,,0,3744,2,4875.403626,1.0,true,68.27,73.14,true,middle third,Intercepted,Short,Short,,59.77,83.64,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:33:16+02:00
evt_0552,match_19_sbu_vs_2wfc,San Beda University,right,Pass,23,Sam Salingay,ST,3746,2,4877.195765,2.0,true,68.02,80.26,false,defensive third,Successful,Short,Short,,68.02,66.01,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-10-25T06:33:28+02:00
evt_0553,match_19_sbu_vs_2wfc,San Beda University,right,Dribble,19,Kirvy Tabelin,CAM,3752,2,4883.895587,6.0,true,70.77,54.38,false,defensive third,Successful,,,,,,,,,,true,,,,,,,,,2025-10-25T06:33:43+02:00
evt_0554,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3753,2,4884.209162,1.0,true,72.77,47.26,false,defensive third,Successful,Short,Short,,74.52,31.5,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-10-25T06:33:53+02:00
evt_0555,match_19_sbu_vs_2wfc,San Beda University,right,Duel,43,Edvard Omitade,RWB,3756,2,4887.731395,3.0,false,82.77,29.63,false,defensive third,Unsuccessful,Ground,,,,,,,,,true,,,,,,,,,2025-10-25T06:34:16+02:00
evt_0556,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,107,,0,3759,2,4890.840617,3.0,true,91.27,25.5,true,attacking third,Successful,Short,Short,,91.77,15,attacking third,Lateral Pass,False,,false,,,,,,,,,2025-10-25T06:34:33+02:00
evt_0557,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,97,,0,3766,2,4897.587383,7.0,true,90.27,15,true,attacking third,Successful,Long,Long,,66.27,15,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:34:55+02:00
evt_0558,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,100,,0,3770,2,4901.286245,4.0,true,66.27,16.5,true,middle third,Successful,Short,Short,,73.27,19.88,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:35:20+02:00
evt_0559,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,97,,0,3772,2,4903.675711,2.0,true,70.27,20.63,true,middle third,Successful,Short,Short,,68.77,9,middle third,Lateral Pass,False,,true,,,,,,,,,2025-10-25T06:35:34+02:00
evt_0560,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,100,,0,3780,2,4911.520534,8.0,true,60.27,21.38,true,middle third,Successful,Long,Long,,41.52,62.63,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:36:17+02:00
evt_0561,match_19_sbu_vs_2wfc,2 Worlds FC,left,Duel,102,,0,3785,2,4916.478558,5.0,false,30.02,69.39,false,defensive third,Unsuccessful,Ground,,,,,,,,,true,,,,,,,,,2025-10-25T06:36:41+02:00
evt_0562,match_19_sbu_vs_2wfc,San Beda University,right,Pass,21,Bel Escodo,CAM,3794,2,4925.443594,9.0,true,50.27,79.51,false,middle third,Intercepted,Through Ball,Through Ball,,74.77,44.26,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:37:16+02:00
evt_0563,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,107,,0,3795,2,4927.035354,1.0,true,76.02,41.63,true,attacking third,Successful,Short,Short,,64.52,39.38,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:37:28+02:00
evt_0564,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,106,,0,3801,2,4932.458119,6.0,true,61.52,30.75,true,middle third,Successful,Long,Long,,38.27,20.25,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:37:44+02:00
evt_0565,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,100,,0,3806,2,4937.323083,5.0,true,44.77,23.25,false,middle third,Intercepted,Short,Short,,37.52,38.26,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:38:20+02:00
evt_0566,match_19_sbu_vs_2wfc,San Beda University,right,Pass,14,Jaro Libarnes,CB,3807,2,4939.145168,1.0,true,27.02,50.26,true,middle third,Successful,Short,Short,,43.27,49.51,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:39:23+02:00
evt_0567,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3810,2,4941.307617,3.0,true,47.02,50.26,true,middle third,Successful,Short,Short,,56.02,63.76,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:39:39+02:00
