id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0248,match_17_sbu_vs_sin,San Beda University,right,Dribble,19,"Tabelin, Kirvy",CAM,1342,1,1600.190054,4.0,true,58.44,68.26,false,middle third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:01:24+00:00
evt_0249,match_17_sbu_vs_sin,San Beda University,right,Pass,19,"Tabelin, Kirvy",CAM,1342,1,1600.190054,0.0,true,57.19,61.13,false,middle third,Successful,Short,Short,"Omitade, Edvard",45.94,92.26,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:01:37+00:00
evt_0250,match_17_sbu_vs_sin,San Beda University,right,Dribble,43,"Omitade, Edvard",LW,1347,1,1604.56626,5.0,true,33.94,76.89,true,middle third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:01:55+00:00
evt_0251,match_17_sbu_vs_sin,San Beda University,right,Dribble,19,"Tabelin, Kirvy",CAM,1350,1,1607.783846,3.0,true,38.44,82.51,true,middle third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:02:05+00:00
evt_0252,match_17_sbu_vs_sin,San Beda University,right,Throw In,41,"Digal, Diegocarl",CB,1372,1,1629.603652,22.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T10:02:22+00:00
evt_0253,match_17_sbu_vs_sin,San Beda University,right,Dribble,43,"Omitade, Edvard",LW,1375,1,1632.782034,3.0,true,18.44,83.64,true,attacking third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:02:36+00:00
evt_0254,match_17_sbu_vs_sin,San Beda University,right,Pass,43,"Omitade, Edvard",LW,1375,1,1632.782034,0.0,true,16.69,79.14,true,attacking third,Successful,Short,Short,"Pineda, Jaryl",26.44,73.51,middle third,Back Pass,False,,true,,,,,,,,,2025-11-06T10:02:50+00:00
evt_0255,match_17_sbu_vs_sin,San Beda University,right,Dribble,18,"Pineda, Jaryl",CAM,1378,1,1635.727862,3.0,true,22.94,60.38,true,attacking third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:03:01+00:00
evt_0256,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,55,Unnamed,,1383,1,1640.863244,5.0,true,32.69,40.51,false,defensive third,Successful,Through Ball,Through Ball,Unnamed,47.19,19.88,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:03:20+00:00
evt_0257,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,52,Unnamed,,1388,1,1646.180524,5.0,true,57.44,15.75,true,middle third,Unsuccessful,Through Ball,Through Ball,,83.19,23.63,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:03:39+00:00
